abakus;kulram
aktivitet;verksamhet
aktning;anseende
aktning;respekt
aktning;uppskattning
aktning;vördnad
aktningsvärd;reputerlig
aktsam;försiktig
aktsamhet;hänsyn
aktualisera;uppgradera
aktuell;gällande
aktuell;innevarande
aktuell;nuvarande
aktuell;populär
aktuell;pågående
aktuell;rådande
aktör;deltagare
aktör;skådespelare
akvarell;vattenfärg
akvavit;brännvin
al;alträd
alarm;larm
alarmerande;oroväckande
alert;livlig
alert;pigg
alert;på hugget
alert;uppmärksam
alert;vaken
alert;vaksam
alerta;pigga
alias;täcknamn
alias;även kallad
alienation;utanförskap
alika;kaja
alkali;bas
alkis;fyllbult
alkohol;rusdrycker
alkohol;sprit
alkoholist;alkoholmissbrukare
alkoholist;fyllerist
alkoholist;spritmissbrukare
alkoholist;suput
alkoholmissbrukare;alkoholist
alkoholmissbrukare;fyllerist
alkoholmissbrukare;spritmissbrukare
alkoholmissbrukare;suput
alkoholpåverkad;berusad
alkoholpåverkad;full
alkoholpåverkad;onykter
all;alla
all;varenda
alla;all
alla;allihopa
alla;samtliga
allan;fåne
allaredan;redan
allbekant;vanlig
alldaglig;enkel
alldaglig;simpel
alldaglig;trivial
alldaglig;vanlig
alldaglig;vardaglig
alldeles;fullständig
alldeles;fullständigt
alldeles;helt
alldenstund;därför att
alldenstund;eftersom
alldenstund;emedan
allehanda;allt möjligt
allehanda;diverse
allen;ensam
allena;ensam
allena;själv
allergi;överkänslighet
allergisk;överkänslig
allians;förbund
alliera;liera
allierad;bundsförvant
allierad;sammansvuren
allierad;vapenbroder
allihop;varenda
allihopa;alla
allmän;för alla
allmän;förhärskande
allmän;generell
allmän;generisk
allmän;gängse
allmän;offentlig
allmän;publik
allmän;tillgänglig
allmän;universell
allmän;vanlig
allmän;övergripande
allmängiltig;universell
allmänt;offentligt
allmänt;officiellt
allmänt;vanligtvis
allokera;anvisa
allokera;fördela
allokera;tilldela
allomfattande;massiv
allomfattande;universell
allsidig;mångfasetterad
allt;allting
allt;alltsammans
allt möjligt;allehanda
allt möjligt;ingenting omöjligt
allteftersom;vartefter
alltemellanåt;då och då
alltemellanåt;ibland
alltemellanåt;stundtals
alltid;evig
alltid;evigt
alltid;förgott
alltid;hela tiden
alltid;jämt
alltid;städse
alltid;ständigt
alltid;varje gång
alltigenom;genomgående
alltihop;alltsammans
allting;allt
allting;alltsamman
allting;alltsammans
alltjämt;ständigt
alltsamman;allting
alltsammans;allt
alltsammans;alltihop
alltsammans;allting
alltsammans;hela
alltsammans;rubbet
alltsammans;totalt
alltså;nämligen
alltså;således
allvar;seriöst
allvarlig;allvarsam
allvarlig;svårartad
allvarligt;seriöst
allvarsam;allvarlig
allé;trädrad
almanack;kalender
almanacka;kalender
alster;produkt
alster;skapelse
alster;verk
alstra;bilda
alstra;frambringa
alstra;framkalla
alstra;framställa
alstra;generera
alstra;producera
alstra;skapa
alstra;åstadkomma
alstras;bli till
altan;terrass
altan;uteplats
altan;veranda
alternativ;val
alternativ;valmöjlighet
alternativmedicin;homeopati
alternativord;synonym
alternativt;eller
alternera;växla
alternerande;omväxlande
alternerande;turvis
alternerande;växelvis
alternerande;ömsom
altruism;oegennytta
altruism;osjälviskhet
alträd;al
amatör;lekman
ambassad;beskickning
ambassadör;representant
ambition;målsättning
ambition;strävan
ambitiös;flitig
ambitiös;nitisk
ambitiös;uppåtsträvande
ambitiöst;duktig
ambivalens;osäkerhet
ambivalent;delad
ambivalent;kluven
ambivalent;tvehågsen
amerikan;jänkare
amerikanare;jänkare
amfetamin;speed
amfetamin;tjack
amma;dia
amma;ge di
amnesti;benådning
amoklöpning;raseri
amortering;avbetalning
amour;kärlek
amplifiera;förstärka
ana;befara
ana;förebåda
ana;förespå
ana;förmoda
ana;förnimma
ana;förutse
ana;känna på sig
ana;misstänka
ana;skönja
ana;tro
analfis;rövprutt
analkanal;rövhål
analmynning;analöppning
analogi;liknelse
analys;tolkning
analysera;granska
analysera;kartlägga
analysera;undersöka
analysera;utreda
analytisk;logisk
analöppning;analmynning
analöppning;rövhål
analöppning;stjärthål
anatomi;kropp
anatomi;struktur
anbefalla;ålägga
anbelanga;vidkomma
anblick;syn
anblick;åsyn
anbringa;fästa
anbud;bud
anbud;erbjudande
anbud;offert
and;knipa
anda;stämning
andas;hämta syre
andas;pusta
andas;respirera
andas in;inhalera
ande;själ
ande;spöke
ande;väsen
ande;vålnad
andedrag;andhämtning
andel;aktie
andel;bit
andel;del
andel;kvot
andel;part
andel;procent
andelsägare;aktieägare
andeväsen;spöke
andhämtning;andedrag
andlig;själslig
andlig;spirituell
andning;respiration
andningsrör;traké
androgyn;könlös
androgyn;tvåkönad
andrum;frist
andrum;paus
andvändning;bruk
anekdot;historia
anekdot;rolig historia
anemi;blodbrist
anemisk;blodfattig
anestesi;bedövning
anestesiolog;narkosläkare
anfader;förfader
anfall;angrepp
anfall;anstormning
anfall;attack
anfall;attackera
anfall;framstöt
anfalla;angripa
anfalla;anstorma
anfalla;attack
anfalla;attackera
anfalla;storma
anfallsspelare;forward
anfäkta;plåga
anföra;leda
anföra;säga
anförande;föredrag
anförande;plädering
anförande;tal
anförare;ledare
anförskaffa;upphandla
anförtro;överantvarda
ange;indicera
ange;indikera
ange;nämna
ange;röja
ange;uppge
ange;utlämna
angelägen;ivrig
angelägen;viktig
angeläget;viktig
angeläget;viktigt
angenäm;behaglig
angenäm;gemytlig
angenäm;ljuvlig
angenäm;skön
angenäm;trevlig
angenäm;trevligt
angenäm;trivsam
angenäm;välbehaglig
angivare;tjallare
angrepp;anfall
angrepp;attack
angrepp;attackera
angrepp;framstöt
angrepp;offensiv
angrepp;överfall
angripa;anfalla
angripa;attackera
angripa;storma
angripa;överfalla
angripen;ansatt
angränsande;intilliggande
angränsande;närliggande
angå;beröra
angå;beträffa
angå;röra
angå;vidkomma
angående;beträffande
angående;gällande
angående;rörande
anhalt;station
anhopa;samla
anhopa;samlas
anhopning;ansamling
anhopning;samling
anhålla;ansöka
anhålla;arrestera
anhålla;gripa
anhålla;hemställa
anhålla;häkta
anhållan;ansökan
anhängare;fan
anhängare;följeslagare
anhängare;supporter
anhängare;sympatisör
anhörig;närstående
anhörig;släkting
animerad;tecknad
aning;förmodan
aning;förnimmelse
aning;förutsäga
aning;känning
aning;susning
aning;tillstymmelse
anklaga;beskylla
anklaga;klandra
anklagar;beskyller
anklagelse;beskyllning
anknyta;associera
anknyta;binda
anknyta;förbinda
anknyta;förknippa
anknyta;koppla
anknyta;sammankoppla
anknytning;förbindelse
anknytning;koppling
anknytning;samband
ankomma;anlända
ankor;änder
ankunge;älling
anlag;drag
anlag;gener
anledning;motiv
anledning;orsak
anledning;skäl
anledning;syfte
anlete;ansikte
anlita;anställa
anlita;leja
anlägga;bygga
anlägga;etablera
anlägga;grunda
anlägga;lägga till vid
anlägga;upprätta
anlägga;utforma
anlända;ankomma
anlända;komma
anmäla;inrapportering
anmäla;inregistrera
anmäla;rapportera
anmälan;rapportera
anmärka;kritisera
anmärka;påpeka
anmärkning;not
anmärkning;påpekan
anmärkning;påpekande
anmärkningsvärd;frapperande
anmärkningsvärd;notabel
anmärkningsvärd;påfallande
anmärkningsvärd;remarkabel
anmärkningsvärd;slående
anmärkningsvärt;påfallande
annalkande;antågande
annalkande;förestående
annalkande;kommande
annars;eljest
annat;övrigt
annektera;erövra
annektera;införliva
annex;sidobyggnad
annonsera;pålysa
annonsera;tillkännage
annonsera;utlysa
annonserad;utropad
annonsering;reklam
annorlunda;avvikande
annorlunda;egendomlig
annorlunda;inte som andra
annorlunda;konstig
annorlunda;olik
annorlunda;olika
annorlunda;på annat sätt
annorlunda;udda
annorlunda;utstickande
annorlunda;väsensskild
annuell;årlig
anomali;avvikelse
anomali;rubbning
anordna;arrangera
anordna;fixa
anordna;hålla
anordna;organisera
anordnar;arrangerar
anordning;apparatur
anordning;don
anpassa;acklimatisera
anpassa;forma
anpassa;justera
anpassa;matcha
anpassa;modifiera
anpasslig;flexibel
anpassning;adaptation
anpassning;integration
anpassning;integrering
anpassning;justering
anpassningsbar;flexibel
anpassningsbar;foglig
anrik;klassisk
anrop;kallelse
anropa;kalla
anrätta;tillaga
anrätta;tillreda
anrättning;måltid
anrättning;tillredning
ansad;vårdad
ansamling;ackumulation
ansamling;anhopning
ansamling;grupp
ansamling;hop
ansats;försök
ansatt;angripen
anse;mena
anse;påpeka
anse;tycka
anse;åsikt
ansedd;framstående
ansedd;prominent
ansedd;välaktad
anseende;aktning
anseende;rykte
ansenlig;avsevärd
ansenlig;betydande
ansenlig;riklig
ansenlig;väsentlig
anser;menar
anser;säger
anser;tycker
anses ha;besitta
ansikte;anlete
ansikte;fejs
ansikte;nuna
ansikte;nylle
ansikte;plyte
anskaffa;förvärva
anskaffa;införskaffa
anskaffa;inhämta
anskaffa;köpa
anskaffa;rekvirera
anskaffa;skaffa
anskri;stridsrop
anskri;tjut
anskrämlig;frånstötande
anskrämlig;ful
anskrämlig;förskräcklig
anslag;affisch
anslag;meddelande
anslag;medel
anslag;notis
ansluta;förbinda
ansluta;förena
ansluta;joina
ansluta;koppla
ansluta;sammankoppla
anslutning;förbindelse
anslutning;koppling
anslutning;tillslutning
anslutning;uppkoppling
anslå;kungöra
anslående;iögonenfallande
anspelning;syftning
anspråk;fordran
anspråk;krav
anspråk;mena
anspråksfull;pretentiös
anspråkslös;blygsam
anspråkslös;ringa
anspänning;press
anspänning;stress
anstalt;fängelse
anstalt;institution
anstorma;anfalla
anstormning;anfall
anstormning;attack
anstrykning;drag
anstränga;pressa
ansträngande;jobbig
ansträngande;jobbigt
ansträngande;krävande
ansträngande;mödosam
ansträngande;pressande
ansträngande;påfrestande
ansträngande;slitsam
ansträngd;spänd
ansträngning;möda
ansträngning;påfrestning
ansträngning;vedermöda
anstå;senarelägga
anstå;vänta med
anställa;anlita
anställa;leja
anställa;värva
anställd;arbetstagare
anställd;löntagare
anställd;personal
anställda;medarbetare
anställning;tjänst
anstånd;uppskov
anständig;passande
anständig;proper
anständig;respektabel
anständig;sedesam
ansvar;förpliktelse
ansvarig;chef
ansvarig;ledare
ansöka;anhålla
ansökan;anhållan
anta;antaga
anta;förmoda
anta;förutsätta
anta;gissa
anta;ponera
anta;tro
antaga;anta
antaga;förmoda
antaga;förutsätta
antaga;gissa
antaga;ponera
antaga;tro
antaga;tror
antagande;förmoda
antagande;förmodan
antagande;hypotes
antagande;postulat
antagande;presumtion
antagande;tror
antagligen;förmodligen
antagligen;kanske
antagligen;nog
antagligen;sannolikt
antagligen;troligen
antagligen;troligtvis
antagligen;väl
antagonist;motståndare
antal;mängd
antar;förmoda
antar;förmodar
antar;ponera
antar;tro
antar;tror
antasta;besvära
antasta;ofreda
antasta;tafsa
anteckna;notera
anteckna;skriva
anteckna;skriva ned
anteckning;notering
anteckning;notis
antekning;notering
antik;ålderdomlig
antikhandel;antikvitetshandel
antikvitetshandel;antikhandel
antisemitism;judehat
antologi;diktsamling
antonym;motsats
anträda;börja
anträda;påbörja
anträda;starta
anträffa;påträffa
anträffa;råka på
anträffa;träffa på
anträffbar;nåbar
anträffbar;tillgänglig
antyda;indicera
antyda;indikation
antyda;insinuera
antyda;mena
antyda;påpeka
antyda;påstå
antyda;vink
antydan;antydning
antydan;indikation
antydan;insinuation
antydan;känsla
antydan;tillstymmelse
antydan;vink
antydning;antydan
antydning;vink
antågande;annalkande
anvisa;allokera
anvisa;tilldela
anvisning;föreskrift
använd;begagnad
använda;begagna
använda;bruka
använda;förbruka
använda;hantera
använda;konsumera
använda;nyttja
använda;nyttjande
använda;tillämpa
användande;tillämpning
användare;brukare
användare;konsument
användare;nyttjare
användbar;behändig
användbar;brukbar
användbar;bruklig
användbar;duglig
användbar;funktionell
användbar;gångbar
användbar;praktisk
användbarhet;nytta
användbarhet;tillämplighet
användning;bruk
användning;förbrukning
användning;hantering
användning;nytta
användning;nyttjande
användning;tillämpning
aorta;kroppspulsåder
apa;näsmongol
apartment;flat
apati;håglöshet
apati;likgiltighet
apatisk;håglös
apel;äpple
apellera;locka
aperitif;aptitretare
apostlahäst;ben
apotek;läkemedelsbutik
apparat;apparatur
apparat;grunka
apparat;mackapär
apparat;manick
apparat;maskin
apparat;mojäng
apparatur;anordning
apparatur;apparat
appell;namnupprop
appellera;tilltala
appellera;vädja
appendicit;blindtarmsinflammation
applicera;lägga på
applicera;påföra
applicera;sätta dit
applicera;tillämpa
applicering;tillsättning
applicering;tillämpning
applåd;hyllning
applåd;klappa
applådera;klappa
appreciera;uppskatta
approximation;uppskattning
approximativ;ungefärlig
approximativt;ungefär
approximera;uppskatta
aprak;asfull
aprak;full
aprak;packad
aptit;matlust
aptitlig;god
aptitretare;aperitif
aptitretare;förrätt
arbeta;gno
arbeta;jobba
arbeta;knega
arbeta;tjänstgöra
arbeta;verka
arbetande;operativ
arbetare;arbetstagare
arbetare;jobbare
arbetare;knegare
arbetare;löntagare
arbetare;proletär
arbetare;yrkesutövare
arbete;göromål
arbete;jobb
arbete;kneg
arbete;sysselsättning
arbete;syssla
arbete;verk
arbete;yrke
arbetsam;flitig
arbetsam;mödosam
arbetsamhet;flit
arbetsamt;jobbigt
arbetsansvarig;chef
arbetsbostad;pendellägenhet
arbetsgivare;uppdragsgivare
arbetsgång;process
arbetskamrat;kollega
arbetskamrat;medarbetare
arbetskraft;personal
arbetsledare;chef
arbetsledare;förman
arbetsplats;arbetsställe
arbetsplats;jobb
arbetsplats;yrkesställe
arbetsredskap;verktyg
arbetsrotation;jobbrotation
arbetsställe;arbetsplats
arbetstagare;anställd
arbetstagare;arbetare
arbetstagare;lönearbetare
arbetstagare;löntagare
arbetsuppgift;göromål
arbetsuppgift;jobb
arbetsuppgift;syssla
arbiträrt;godtyckligt
area;område
area;yta
areal;yta
arena;stadium
arg;frustrerad
arg;förbannad
arg;förgrymmad
arg;förtretad
arg;gramse
arg;ilsk
arg;ilsken
arg;putt
arg;rasande
arg;rosenrasande
arg;sned
arg;sur
arg;ursinnig
arg;vansinnig
arg;vred
arg;vredgad
arg;vresig
argsint;aggressiv
argsint;ilsk
argsint;ilsken
argumentation;motstridig
argumentera;förfäkta
aristokrat;adelsman
aristokrati;adel
ark;blad
ark;papper
arkad;pelargång
arkad;pelarvalv
arkaisk;gammaldags
arkebusera;avliva medelst skjutvapen
arkebusera;avrätta
arkebusering;avrättning
arkitektur;byggnadskonst
arkivera;lagra
arla;bittida
arla;tidig
arla;tidigt
arm;fattig
arm;påver
arma;stackars
armada;krigsflotta
armbandsur;klocka
armera;bepansra
armera;förstärka
armod;elände
armod;fattigdom
armod;misär
armod;nöd
armé;här
arom;doft
arom;lukt
arom;smak
arom;vällukt
arrangemang;evenemang
arrangemang;uppställning
arrangera;anordna
arrangera;fixa
arrangera;ordna
arrangera;organisera
arrangerande;ordnande
arrangerar;anordnar
arrangör;organisatör
arrendator;hyresgäst
arrende;hyra
arrendera;hyra
arrestera;anhålla
arrestera;frihetsberöva
arrestera;gripa
arrogant;högdragen
arrogant;högmodig
arrogant;mallig
arrogant;överlägsen
arsel;rumpa
arsel;rövhål
arsel;skitstövel
arsenal;vapenförråd
arsle;gump
arsle;rumpa
arsle;rövhål
arsle;stjärt
art;ras
art;slag
art;släkte
art;sort
art;typ
arterioskleros;åderförkalkning
artfrämmande;väsensskild
artificiell;konstgjord
artificiell;onaturlig
artig;belevad
artig;chevaleresk
artig;hövlig
artig;ridderlig
artighet;hövlighet
artikel;sak
artikulera;uttala
artikulerad;vältalig
artilleripjäs;kanon
artist;stjärna
artist;underhållare
arton;aderton
artutveckling;evolution
artär;pulsåder
arvinge;efterträdare
arvode;ersättning
arvode;gage
arvode;honorar
arvode;lön
arvodering;betalning
arvsanlag;gen
as;kadaver
as packad;stupfull
asball;cool
asbra;jättebra
asbra;kanon
asbra;super
asbra;svinbra
asch;äh
asch;äsch
asfull;aprak
asfull;packad
asfågel;gam
asgarva;skratta
asgarva;tokskratta
ask;box
ask;burk
ask;dosa
ask;etui
ask;förpackning
ask;låda
ask;skrin
aska;stoft
askfat;askkopp
askkopp;askfat
asmörk;skitmörk
aspekt;synpunkt
aspekt;synvinkel
aspekt;vinkel
aspirant;kandidat
aspirant;lärjunge
aspiration;strävan
assiett;fat
assimilera;införliva
assimilera;sammansmälta
assist;hjälpa
assistans;handräckning
assistans;hjälp
assistent;biträde
assistent;medhjälpare
assistera;hjälpa
association;tankebana
associera;anknyta
associera;förbinda
associera;förknippa
associera;koppla
associera;sammankoppla
associerad;förknippa
asterisk;stjärna
asteroid;småplanet
astronaut;kosmonaut
astronaut;rymdfarare
astronaut;rymdman
astråkigt;fett tråkigt
asyl;fristad
ateist;gudsförnekare
atlas;kartbok
atmosfär;stämning
atonalt;disharmonisk
att plugga;studera
attack;anfall
attack;anfalla
attack;angrepp
attack;anstormning
attack;framstöt
attack;offensiv
attack;utfall
attack;överfalla
attacken;ogillande
attackera;anfall
attackera;anfalla
attackera;angrepp
attackera;angripa
attackera;påhopp
attackera;överfalla
attackerad;påhoppad
attackerande;offensiv
attans;nedrans
attentat;terrordåd
attentat;våldsangrepp
attentat;våldsdåd
attityd;förhållningssätt
attityd;inställning
attrahera;dra till sig
attrahera;dragning
attrahera;locka
attraherande;lockande
attraherande;snygg
attraktion;dragning
attraktion;tilldragning
attraktiv;efterfrågad
attraktiv;lockande
attraktiv;snygg
attraktiv;tilldragande
attraktiv;tilltalande
attraktiv;vacker
au-pair;barnflicka
aubergin;äggplanta
aubergine;äggplanta
auditorium;publik
auktorisera;bemyndiga
auktoritativ;befallande
auktoritet;pondus
aula;sal
autenticera;verifiera
autentisk;genuin
autentisk;riktig
autentisk;sanningsenlig
autentisk;verklig
autentisk;äkta
autodidakt;självlärd
autograf;signatur
autograf;signering
autokrat;envåldshärskare
automobil;bil
autonom;självstyrande
autonom;självständig
autostrada;motorväg
av;bruten
av;från
av;itu
av;utav
av och till;emellanåt
av och till;ibland
av och till;stundtals
av och till;understundom
av vikt;betydelse
avancemang;framsteg
avancera;fortskrida
avancera;framryckning
avancera;framskrida
avancera;klättra
avancera;stiga
avancera;vinna befordran
avancerad;invecklad
avancerad;svår
avans;vinst
avbetalning;amortering
avbild;kopia
avbild;porträtt
avbild;skildring
avbilda;kopiera
avbilda;måla
avbilda;porträttera
avbilda;rita av
avbilda;skissa
avbilda;återge
avbildning;gestaltning
avbildning;illustration
avbildning;målning
avbildning;porträtt
avblåsa;avbryta
avblåsa;hejda
avblåsa;inställa
avblåsa;stoppa
avblåsa;upphäva
avbrott;paus
avbrott;rast
avbrott;uppehåll
avbrott;upplösa
avbryta;avblåsa
avbryta;hejda
avbryta;sluta
avbryta;stoppa
avbryta;upphäva
avbräck;bakslag
avbräck;förlust
avbytare;ersättare
avböja;avslå
avböja;neka
avböja;tacka nej
avdela;avskilja
avdelning;departement
avdelning;division
avdelning;enhet
avdelning;filial
avdelning;rotel
avdelning;sektion
avdelning;sektor
avdelningschef;enhetschef
avdrag;rabatt
avdrag;reduktion
avdunsta;dunsta bort
avdunsta;försvinna
avdunsta;förångas
avdunsta;ånga bort
avel;uppfödning
aveny;boulevard
aversion;motvilja
aversion;ogillande
avfall;skräp
avfall;sopor
avfall;spill
avfallsbehållare;skräpkorg
avfordra;avpressa
avfyra;ge fyr
avfyra;skjuta
avfärd;avgång
avfärd;avresa
avfärda;avvisa
avfärda;nobba
avfärdande;avvisande
avföring;efterlämning
avföring;exkrement
avföring;exkrementer
avföring;fekalier
avföring;spillning
avföring;träck
avge;utsöndra
avgift;betalningssumma
avgift;debitering
avgift;kostnad
avgift;taxa
avgiftsfri;gratis
avgjort;bestämt
avgjort;definitivt
avgrund;stup
avgränsa;skilja ur
avgränsa;snara in
avgränsa;snäva in
avgränsning;uppdelning
avguda;beundra
avguda;dyrka
avguda;tillbe
avgå;abdikera
avgå;lämna
avgå;sluta
avgång;avfärd
avgår;slutar
avgöra;bedöma
avgöra;besluta
avgöra;bestämma
avgöra;fastslå
avgöra;klubba
avgörande;bestämmande
avgörande;betydande
avgörande;essentiell
avgörande;slutgiltig
avgörande;slutlig
avgörande;utslagsgivande
avgörande;väsentlig
avgörande;väsentligt
avhandla;ventilera
avhandling;thesis
avhandling;uppsats
avhjälpa;fixa
avhjälpa;rätta till
avhjälpa;åtgärda
avhysa;vräka
avhölja;skala
avhålla;hindra
avhålla;tycka om
avhända;frånhända
avhända;frånta
avhända;ta ifrån
avhända sig;sumpa
avhängig;beroende
avhängig;beroende av
avig;felvänd
avigsida;nackdel
avis;tidning
avisera;föranmäla
avisera;pålysa
avisera;tillkännage
avisera;underrätta
avisera;utropa
avkastning;förtjänst
avkastning;intäkt
avkastning;profit
avkastning;skörd
avkastning;utdelning
avkastning;vinst
avklara;avverka
avklara;utagera
avklara;övervinna
avklarad;färdig
avklädd;naken
avkoda;dekryptera
avkomling;telning
avkomling;ättling
avkomma;barn
avkomma;ättling
avkorta;förkorta
avkunna;tillkännage
avla;föda upp
avlastning;befrielse
avlastning;hjälp
avlastningsventil;dumpventil
avled;dog
avleda;avstyra
avleda;distrahera
avleda;leda bort
avleda;parera
avledningsrör;kateter
avlid;dö
avlid;gå bort
avlida;bortgång
avlida;dö
avlida;frånfälla
avlida;gå bort
avlida;gå hädan
avlida;omkomma
avliden;död
avliden;framliden
avliva;döda
avliva;ha ihjäl
avliva medelst skjutvapen;arkebusera
avlopp;kloak
avloppsledning;kloak
avlossa;skjuta
avlägsen;avsides belägen
avlägsen;fjärran
avlägsna;borttaga
avlägsna;bottaga
avlägsna;fjärma
avlägsna;ta bort
avlägsna;undanröja
avlägsna sig;retirera
avlägsnande;elimination
avlöna;betala
avlönad;betald
avlöpa;gälla
avläsa;tolka
avläsa;tyda
avlösa;överta
avlövad;kal
avmagra;tyna av
avmätt;stram
avnämare;kund
avnöta;utslita
avog;motsträvig
avog;motvillig
avog;negativ
avog;ovänlig
avog;vresig
avog;vrång
avogt;ovänligt
avpassa;jämka
avpassning;reglering
avpressa;avfordra
avpressa;avtvinga
avresa;avfärd
avrustning;avväpning
avrätta;arkebusera
avrätta;döda
avrätta;hänga
avrätta;likvidera
avrättning;arkebusering
avsaknad;brist
avsaknad;fattas
avsaknad;frånvarande
avsaknad;frånvaro
avsats;klipphylla
avsats;platå
avsats;utsprång
avse;gälla
avse;ha till mål
avse;mena
avse;ämna
avse;åsyfta
avsedd;menad
avsedd;planerad
avsedd;tilltänkt
avsedd;ämnad
avsedda för;vikta
avseende;avseenden
avseende;beträffande
avseende;gällande
avseende;mening
avseenden;avseende
avsegla;kasta loss
avser;menar
avsevärd;ansenlig
avsevärd;betydande
avsevärd;betydlig
avsevärd;markant
avsevärd;väsentlig
avsevärt;markant
avsevärt;mycket
avsevärt;åtskilligt
avsides;periferi
avsides belägen;avlägsen
avsikt;intention
avsikt;mening
avsikt;motiv
avsikt;mål
avsikt;målsättning
avsikt;syfte
avsikt;tanke
avsikt;uppsåt
avsikt;ämna
avsikt;ändamål
avsiktigt;flit
avsiktlig;medveten
avsiktlig;uppsåtlig
avsiktligt;med flit
avsiktligt;medvetet
avskaffa;slopa
avskaffa;upphäva
avsked;uppsägning
avskeda;entlediga
avskeda;ge sparken
avskeda;sparka
avskeda;uppsäga
avskedat;kickat
avskild;separerad
avskilja;avdela
avskilja;dela
avskilja;separera
avskilja;skilja
avskilja;sära
avskilja sig;profilera
avskiljande;separation
avskiljare;separatör
avskilt rum;enrum
avskrift;kopia
avskrift;kopiering
avskräde;skräp
avskum;drägg
avskum;patrask
avsky;förakt
avsky;hat
avsky;hata
avsky;ogillande
avsky;vämjelse
avskyvärd;fruktansvärd
avskyvärd;förfärlig
avskyvärd;gräslig
avskyvärd;hemsk
avskyvärd;motbjudande
avskyvärd;otäck
avskyvärd;ryslig
avskyvärd;vederstygglig
avskyvärd;vedervärdig
avskyvärd;vidrig
avskyvärd;vämjelig
avskyvärd;äcklig
